sno,user_id,book_id,date_out,date_in
1,101,1001,21-9-2022,22-9-2022
2,102,1002,21-9-2022,22-9-2022
3,103,1003,21-9-2022,22-9-2022
4,104,1004,21-9-2022,22-9-2022
5,105,2001,21-9-2022,22-9-2022
6,101,2001,22-9-2021,
7,101,2002,22-9-2022,
8,102,2003,22-9-2022,28-10-2022
9,103,2004,22-9-2022,28-10-2022
10,104,9001,22-9-2022,
11,105,9002,22-9-2022,
12,101,1001,28-10-2022,
13,105,2005,28-10-2022,
14,103,2006,28-10-2022,
15,102,2007,28-10-2022,28-10-2022
16,101,2008,28-10-2022,28-10-2022
17,101,4001,28-10-2022,
18,101,8001,28-10-2022,
19,102,2003,28-10-2022,
20,104,3001,28-10-2022,30-10-2022
21,104,6001,28-10-2022,
22,105,3001,30-10-2022,
